zAbs,zMes,Ka,Kb,La,Lb,Ll,Ma,Mb
N,Xe,0,0,55,0,0,0,0
N,Cs,0,0,49,39,0,0,0
N,Ba,0,0,43,34,0,0,0
N,La,0,0,38,30,0,5223,4899
N,Ce,0,0,34,26,0,4494,4252
N,Pr,0,0,30,23,0,3938,3714
N,Nd,0,0,27,20,0,3441,3271
N,Pm,0,0,24,18,0,0,0
N,Sm,0,0,21,16,0,2638,2518
N,Eu,0,0,19,14,0,2337,2218
N,Gd,0,0,17,13,0,2060,1951
N,Tb,0,0,15,11,0,1821,1720
N,Dy,0,0,14,10,0,1624,1518
N,Ho,0,0,12,9,0,1448,1348
N,Er,0,0,11,8,0,1288,1198
N,Tm,0,0,10,7,0,1155,1069
N,Yb,0,0,9,6,0,1034,949
N,Lu,0,0,8,6,0,927,849
N,Hf,0,0,8,5,0,828,757
N,Ta,0,0,7,5,0,742,676
N,W,0,0,6,4,0,667,606
N,Re,0,0,6,4,0,598,543
N,Os,0,0,5,3,0,540,488
N,Ir,0,0,5,3,0,486,437
N,Pt,0,0,4,3,0,439,395
N,Au,0,0,4,2,0,397,355
N,Hg,0,0,4,2,0,360,321
N,Tl,0,0,3,2,0,326,290
N,Pb,0,0,3,2,0,296,263
N,Bi,0,0,3,2,0,269,238
N,Po,0,0,3,2,0,0,0
N,At,0,0,3,1,0,0,0
N,Rn,0,0,2,1,0,0,0
N,Fr,0,0,2,1,0,0,0
N,Ra,0,0,2,1,0,0,0
N,Ac,0,0,2,1,0,0,0
N,Th,0,0,2,1,0,143,124
N,Pa,0,0,2,1,0,131,113
N,U,0,0,1,1,0,121,104
O,H,0,0,0,0,0,0,0
O,He,0,0,0,0,0,0,0
O,Li,0,0,0,0,0,0,0
O,Be,57856,0,0,0,0,0,0
O,B,15773,0,0,0,0,0,0
O,C,5998,0,0,0,0,0,0
O,N,2529,0,0,0,0,0,0
O,O,1181,0,0,0,0,0,0
O,F,11928,0,0,0,0,0,0
O,Ne,6844,0,0,0,0,0,0
O,Na,4084,3795,0,0,0,0,0
O,Mg,2512,2274,0,0,0,0,0
